,Date,Open,High,Low,Close,Volume,OpenInt
31,1962-02-14,0.6362,0.6442,0.6362,0.6362,1931684,0
32,1962-02-15,0.6362,0.652,0.6362,0.6442,2229783,0
33,1962-02-16,0.6442,0.652,0.6362,0.6442,2790211,0
34,1962-02-19,0.6442,0.6442,0.6362,0.6362,1860141,0
35,1962-02-20,0.6362,0.6362,0.6277,0.6362,1275864,0
36,1962-02-21,0.6362,0.6442,0.6277,0.6362,1287786,0
37,1962-02-23,0.6362,0.6362,0.6277,0.6277,1943605,0
38,1962-02-26,0.6277,0.6277,0.6122,0.6201,1502420,0
39,1962-02-27,0.6201,0.6277,0.6201,0.6277,1108929,0
40,1962-02-28,0.6277,0.6277,0.6201,0.6201,1979380,0
41,1962-03-01,0.6277,0.6362,0.6277,0.6362,1085082,0
42,1962-03-02,0.6362,0.6442,0.6362,0.6362,1502420,0
43,1962-03-05,0.6362,0.6442,0.6362,0.6362,1657434,0
44,1962-03-06,0.6362,0.6362,0.6277,0.6277,1120852,0
45,1962-03-07,0.6277,0.6362,0.6277,0.6362,1204322,0
46,1962-03-08,0.6362,0.6442,0.6277,0.6442,2110543,0
47,1962-03-09,0.6442,0.652,0.6442,0.652,2360947,0
48,1962-03-12,0.652,0.652,0.652,0.652,2515956,0
49,1962-03-13,0.652,0.652,0.6442,0.652,1538193,0
50,1962-03-14,0.652,0.652,0.6442,0.6442,1299713,0
51,1962-03-15,0.6442,0.652,0.6442,0.652,2253633,0
52,1962-03-16,0.652,0.652,0.652,0.652,1240089,0
53,1962-03-19,0.652,0.652,0.6442,0.6442,1323560,0
54,1962-03-20,0.6442,0.6442,0.6442,0.6442,1013536,0
55,1962-03-21,0.6442,0.6442,0.6442,0.6442,1919760,0
56,1962-03-22,0.6442,0.6442,0.6442,0.6442,1216242,0
57,1962-03-23,0.6442,0.652,0.6442,0.652,1526268,0
58,1962-03-26,0.652,0.652,0.6362,0.6362,1383181,0
59,1962-03-27,0.6362,0.6442,0.6362,0.6442,1490499,0
60,1962-03-28,0.6442,0.652,0.6442,0.652,1585893,0
61,1962-03-29,0.652,0.652,0.6442,0.6442,1395103,0
62,1962-03-30,0.6442,0.652,0.6362,0.6442,1752823,0
63,1962-04-02,0.6362,0.6362,0.6362,0.6362,1359331,0
64,1962-04-03,0.6362,0.6362,0.6277,0.6277,2027074,0
65,1962-04-04,0.6277,0.6362,0.6277,0.6277,1633584,0
66,1962-04-05,0.6277,0.6362,0.6277,0.6362,2110543,0
67,1962-04-06,0.6362,0.6362,0.6277,0.6362,1681280,0
68,1962-04-09,0.6362,0.6362,0.6277,0.6277,1418951,0
69,1962-04-10,0.6277,0.6277,0.6201,0.6201,1705127,0
70,1962-04-11,0.6201,0.6277,0.6037,0.6122,1502420,0
71,1962-04-12,0.6122,0.6122,0.6037,0.6037,1717049,0
72,1962-04-13,0.6122,0.6277,0.6122,0.6201,2039000,0
73,1962-04-16,0.6201,0.6201,0.6122,0.6201,1812443,0
74,1962-04-17,0.6201,0.6201,0.6201,0.6201,1717049,0
75,1962-04-18,0.6201,0.6201,0.6122,0.6201,4209159,0
76,1962-04-19,0.6201,0.6201,0.6122,0.6201,1216242,0
77,1962-04-23,0.6201,0.6201,0.6122,0.6122,2062844,0
78,1962-04-24,0.6122,0.6122,0.6122,0.6122,2659046,0
79,1962-04-25,0.6122,0.6122,0.6037,0.6037,2635197,0
80,1962-04-26,0.6037,0.6122,0.5957,0.6037,1717049,0
81,1962-04-27,0.6037,0.6122,0.5878,0.5878,2551729,0
82,1962-04-30,0.5878,0.5957,0.5634,0.5716,3302941,0
83,1962-05-01,0.5716,0.5878,0.5634,0.5878,3803747,0
84,1962-05-02,0.5878,0.5957,0.5878,0.5878,3469873,0
85,1962-05-03,0.5957,0.5957,0.5957,0.5957,3720277,0
86,1962-05-04,0.5957,0.6037,0.5957,0.5957,2360947,0
87,1962-05-07,0.5957,0.5957,0.5878,0.5878,2492110,0
88,1962-05-08,0.5878,0.5878,0.5878,0.5878,1848214,0
89,1962-05-09,0.5878,0.5878,0.5878,0.5878,2611348,0
90,1962-05-10,0.5878,0.5957,0.5798,0.5878,3159852,0
91,1962-05-11,0.5878,0.5878,0.5716,0.5798,4626501,0
92,1962-05-14,0.5798,0.5878,0.5716,0.5878,3612965,0
93,1962-05-15,0.5878,0.5957,0.5878,0.5878,3136005,0
94,1962-05-16,0.5878,0.5878,0.5878,0.5878,2074770,0
95,1962-05-17,0.5878,0.5957,0.5878,0.5878,965841,0
96,1962-05-18,0.5957,0.5957,0.5957,0.5957,2241705,0
97,1962-05-21,0.5957,0.5957,0.5957,0.5957,1657434,0
98,1962-05-22,0.5957,0.5957,0.5798,0.5798,2015151,0
99,1962-05-23,0.5716,0.5716,0.5634,0.5634,2635197,0
100,1962-05-24,0.5634,0.5716,0.5555,0.5634,3398332,0
101,1962-05-25,0.5634,0.5634,0.5393,0.5476,3040613,0
102,1962-05-28,0.5476,0.5476,0.5154,0.5233,5055765,0
103,1962-05-29,0.5233,0.5476,0.49892,0.5393,9312619,0
104,1962-05-31,0.5476,0.5555,0.5476,0.5476,5186925,0
105,1962-06-01,0.5476,0.5555,0.5393,0.5476,3267166,0
106,1962-06-04,0.5476,0.5476,0.5233,0.5233,2408643,0
107,1962-06-05,0.5233,0.5393,0.5233,0.5313,3791825,0
108,1962-06-06,0.5313,0.5476,0.5313,0.5313,2623274,0
109,1962-06-07,0.5393,0.5476,0.5393,0.5393,1263940,0
110,1962-06-08,0.5393,0.5476,0.5393,0.5393,1597811,0
111,1962-06-11,0.5393,0.5476,0.5393,0.5393,1407027,0
112,1962-06-12,0.5313,0.5313,0.5074,0.5154,3267166,0
113,1962-06-13,0.5154,0.5233,0.5074,0.5074,3314862,0
114,1962-06-14,0.5074,0.5233,0.5074,0.5074,691590,0
115,1962-06-15,0.5074,0.5233,0.49892,0.5233,4185313,0
116,1962-06-18,0.5233,0.5233,0.5074,0.5154,2682892,0
117,1962-06-19,0.5154,0.5154,0.5074,0.5154,1526268,0
118,1962-06-20,0.5074,0.5074,0.49892,0.49892,2933295,0
119,1962-06-21,0.49892,0.49892,0.48319,0.48319,3636810,0
120,1962-06-22,0.48319,0.48319,0.45902,0.45902,3970681,0
121,1962-06-25,0.45902,0.4669,0.45114,0.4669,5520796,0
122,1962-06-26,0.4669,0.47509,0.45902,0.45902,4042228,0
123,1962-06-27,0.45902,0.4669,0.45902,0.4669,2122467,0
124,1962-06-28,0.47509,0.49111,0.47509,0.49111,3136005,0
125,1962-06-29,0.49111,0.49892,0.49111,0.49892,2623274,0
126,1962-07-02,0.49892,0.5313,0.49111,0.5233,2360947,0
127,1962-07-03,0.5233,0.5313,0.5154,0.5233,3803747,0
128,1962-07-05,0.5233,0.5313,0.5233,0.5313,2098620,0
129,1962-07-06,0.5313,0.5313,0.5154,0.5233,1860141,0
130,1962-07-09,0.5233,0.5313,0.5154,0.5313,2074770,0
131,1962-07-10,0.5313,0.5476,0.5233,0.5313,3505649,0
132,1962-07-11,0.5313,0.5313,0.5233,0.5313,1728976,0
133,1962-07-12,0.5393,0.5476,0.5393,0.5393,2921372,0
134,1962-07-13,0.5393,0.5393,0.5233,0.5393,2313250,0
135,1962-07-16,0.5313,0.5313,0.5313,0.5313,1180470,0
136,1962-07-17,0.5313,0.5313,0.5233,0.5233,1562041,0
137,1962-07-18,0.5154,0.5154,0.5074,0.5154,1860141,0
138,1962-07-19,0.5154,0.5233,0.5154,0.5233,1800521,0
139,1962-07-20,0.5233,0.5313,0.5233,0.5233,1204322,0
140,1962-07-23,0.5233,0.5313,0.5233,0.5313,1156624,0
141,1962-07-24,0.5313,0.5313,0.5233,0.5233,1180470,0
142,1962-07-25,0.5233,0.5233,0.5074,0.5233,1097003,0
143,1962-07-26,0.5233,0.5313,0.5233,0.5313,1490499,0
144,1962-07-27,0.5313,0.5393,0.5233,0.5313,1740902,0
145,1962-07-30,0.5313,0.5393,0.5313,0.5393,1263940,0
146,1962-07-31,0.5393,0.5555,0.5393,0.5555,3422176,0
147,1962-08-01,0.5555,0.5555,0.5476,0.5476,1705127,0
148,1962-08-02,0.5476,0.5555,0.5476,0.5555,1407027,0
149,1962-08-03,0.5555,0.5555,0.5555,0.5555,1836293,0
150,1962-08-06,0.5555,0.5555,0.5476,0.5476,1836293,0
151,1962-08-07,0.5476,0.5476,0.5476,0.5476,1907836,0
152,1962-08-08,0.5476,0.5476,0.5393,0.5476,1240089,0
153,1962-08-09,0.5476,0.5555,0.5476,0.5476,1418951,0
154,1962-08-10,0.5476,0.5555,0.5476,0.5555,1848214,0
155,1962-08-13,0.5555,0.5555,0.5476,0.5476,1454724,0
156,1962-08-14,0.5476,0.5634,0.5476,0.5634,2599427,0
157,1962-08-15,0.5634,0.5634,0.5555,0.5634,1800521,0
158,1962-08-16,0.5634,0.5634,0.5634,0.5634,1621660,0
159,1962-08-17,0.5634,0.5716,0.5634,0.5634,1740902,0
160,1962-08-20,0.5634,0.5798,0.5634,0.5634,1848214,0
161,1962-08-21,0.5634,0.5716,0.5634,0.5634,1395103,0
162,1962-08-22,0.5716,0.5798,0.5716,0.5798,1776671,0
163,1962-08-23,0.5798,0.5798,0.5798,0.5798,1728976,0
164,1962-08-24,0.5798,0.5798,0.5634,0.5634,2444411,0
165,1962-08-27,0.5634,0.5716,0.5555,0.5555,1502420,0
166,1962-08-28,0.5634,0.5634,0.5634,0.5634,1955533,0
167,1962-08-29,0.5634,0.5634,0.5555,0.5634,1240089,0
168,1962-08-30,0.5634,0.5716,0.5634,0.5634,1478569,0
169,1962-08-31,0.5634,0.5716,0.5634,0.5716,977764,0
170,1962-09-04,0.5716,0.5716,0.5555,0.5555,1252016,0
171,1962-09-05,0.5555,0.5555,0.5393,0.5476,2027074,0
172,1962-09-06,0.5476,0.5555,0.5393,0.5476,2229783,0
173,1962-09-07,0.5476,0.5555,0.5476,0.5555,2039000,0
174,1962-09-10,0.5555,0.5634,0.5476,0.5634,1204322,0
175,1962-09-11,0.5634,0.5634,0.5555,0.5555,1585893,0
176,1962-09-12,0.5555,0.5634,0.5555,0.5634,727362,0
177,1962-09-13,0.5634,0.5716,0.5555,0.5555,2086691,0
178,1962-09-14,0.5555,0.5634,0.5555,0.5634,941992,0
179,1962-09-17,0.5634,0.5716,0.5634,0.5634,977764,0
180,1962-09-18,0.5634,0.5716,0.5634,0.5634,1776671,0
181,1962-09-19,0.5634,0.5634,0.5555,0.5634,1633584,0
182,1962-09-20,0.5634,0.5634,0.5555,0.5555,1442802,0
183,1962-09-21,0.5555,0.5555,0.5476,0.5476,2170161,0
184,1962-09-24,0.5476,0.5476,0.5313,0.5393,2480187,0
185,1962-09-25,0.5393,0.5393,0.5233,0.5393,2134390,0
186,1962-09-26,0.5393,0.5393,0.5233,0.5313,1967454,0
187,1962-09-27,0.5313,0.5313,0.5154,0.5154,1848214,0
188,1962-09-28,0.5154,0.5313,0.5154,0.5313,2086691,0
189,1962-10-01,0.5313,0.5313,0.5233,0.5313,1418951,0
190,1962-10-02,0.5313,0.5393,0.5313,0.5393,1037385,0
191,1962-10-03,0.5393,0.5476,0.5393,0.5393,1311636,0
192,1962-10-04,0.5393,0.5476,0.5313,0.5476,1967454,0
193,1962-10-05,0.5555,0.5634,0.5555,0.5555,1514346,0
194,1962-10-08,0.5634,0.5634,0.5634,0.5634,1538193,0
195,1962-10-09,0.5634,0.5634,0.5555,0.5634,1430876,0
196,1962-10-10,0.5634,0.5634,0.5555,0.5555,1263940,0
197,1962-10-11,0.5555,0.5555,0.5476,0.5476,1609738,0
198,1962-10-12,0.5476,0.5476,0.5476,0.5476,798906,0
199,1962-10-15,0.5476,0.5634,0.5476,0.5634,1347409,0
200,1962-10-16,0.5634,0.5634,0.5634,0.5634,1514346,0
201,1962-10-17,0.5555,0.5555,0.5555,0.5555,1836293,0
202,1962-10-18,0.5555,0.5555,0.5555,0.5555,1490499,0
203,1962-10-19,0.5555,0.5555,0.5393,0.5476,3302941,0
204,1962-10-22,0.5476,0.5476,0.5393,0.5393,2766362,0
205,1962-10-23,0.5393,0.5476,0.5313,0.5313,2778285,0
206,1962-10-24,0.5313,0.5634,0.5313,0.5555,3124079,0
207,1962-10-25,0.5555,0.5555,0.5393,0.5476,2492110,0
208,1962-10-26,0.5476,0.5555,0.5476,0.5555,1573964,0
209,1962-10-29,0.5555,0.5716,0.5555,0.5555,2134390,0
210,1962-10-30,0.5555,0.5716,0.5555,0.5716,2301325,0
211,1962-10-31,0.5716,0.5716,0.5634,0.5634,1883986,0
212,1962-11-01,0.5634,0.5716,0.5555,0.5716,2074770,0
213,1962-11-02,0.5716,0.5798,0.5634,0.5798,3386407,0
214,1962-11-05,0.5798,0.5798,0.5798,0.5798,2933295,0
215,1962-11-07,0.5798,0.5878,0.5716,0.5798,3076382,0
216,1962-11-08,0.5798,0.5878,0.5798,0.5798,2253633,0
217,1962-11-12,0.5957,0.5957,0.5957,0.5957,2659046,0
218,1962-11-13,0.5957,0.6037,0.5957,0.5957,1895910,0
219,1962-11-14,0.5957,0.6037,0.5957,0.6037,3302941,0
220,1962-11-15,0.6037,0.6037,0.5957,0.6037,2241705,0
221,1962-11-16,0.6037,0.6037,0.5957,0.6037,2515956,0
222,1962-11-19,0.6037,0.6037,0.5957,0.6037,1705127,0
223,1962-11-20,0.6037,0.6037,0.6037,0.6037,1824370,0
224,1962-11-21,0.6037,0.6122,0.6037,0.6122,977764,0
225,1962-11-23,0.6122,0.6277,0.6122,0.6277,3863364,0
226,1962-11-26,0.6277,0.6277,0.6122,0.6201,2623274,0
227,1962-11-27,0.6201,0.6201,0.6122,0.6201,1430876,0
228,1962-11-28,0.6201,0.6277,0.6201,0.6201,2313250,0
229,1962-11-29,0.6201,0.6201,0.6201,0.6201,1728976,0
230,1962-11-30,0.6201,0.6277,0.6201,0.6201,1228169,0
231,1962-12-03,0.6201,0.6201,0.6201,0.6201,1693206,0
232,1962-12-04,0.6201,0.6277,0.6201,0.6277,1907836,0
233,1962-12-05,0.6277,0.6362,0.6277,0.6362,3004841,0
234,1962-12-06,0.6362,0.6362,0.6277,0.6277,2563655,0
235,1962-12-07,0.6277,0.6362,0.6277,0.6362,2229783,0
236,1962-12-10,0.6362,0.6362,0.6277,0.6277,2039000,0
237,1962-12-11,0.6277,0.6362,0.6201,0.6277,2742513,0
238,1962-12-12,0.6277,0.6442,0.6277,0.6442,2611348,0
239,1962-12-13,0.6442,0.6442,0.6362,0.6362,1466649,0
240,1962-12-14,0.6362,0.6442,0.6362,0.6442,1049308,0
241,1962-12-17,0.6442,0.6442,0.6362,0.6442,679667,0
242,1962-12-18,0.6362,0.6362,0.6201,0.6277,1395103,0
243,1962-12-19,0.6277,0.6362,0.6201,0.6362,2706741,0
