Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
1962-01-02,0.620512068271637,0.6329638494050125,0.6163615802818603,0.622587470848548,432682
1962-01-03,0.6142861247062683,0.6173991688347927,0.6122108808904255,0.6173991688347927,296467
1962-01-04,0.6070223450660706,0.6194740795816873,0.6018342181611487,0.614285833740315,368581
1962-01-05,0.5914580821990967,0.608060511705938,0.5810817421621158,0.607022750836608,546862
1962-01-08,0.5904204845428467,0.5914580868382754,0.5727804526103535,0.5914580868382754,620978
1962-01-09,0.5935329794883728,0.5987212654107458,0.5862694902044138,0.5904201348005068,466735
1962-01-10,0.5966461896896362,0.599759035250273,0.591457902312586,0.5935331459015099,392619
1962-01-11,0.5976833701133728,0.5976833701133728,0.5862692410834788,0.5966457688734833,326514
1962-01-12,0.5893825888633728,0.5987213623113337,0.5873073851659235,0.5976837208171158,338533
1962-01-15,0.595608115196228,0.597683357276907,0.5904198712353889,0.5904198712353889,424669
1962-01-16,0.6007964015007019,0.6028718027203858,0.5914576312261012,0.5956082750835499,278439
1962-01-17,0.5873076319694519,0.5997592161960998,0.5831569849573729,0.5997592161960998,428675
1962-01-18,0.5935329794883728,0.5935329794883728,0.5862694902044138,0.5873072901126408,296467
1962-01-19,0.5987212657928467,0.5987212657928467,0.5935329798671626,0.5935329798671626,266420
1962-01-22,0.6007964015007019,0.6080600480739771,0.5997587603590796,0.5997587603590796,284448
1962-01-23,0.5893825888633728,0.5987213623113337,0.5873073851659235,0.5987213623113337,456720
1962-01-24,0.6007964015007019,0.6028718027203858,0.5873071855960512,0.5893823885883364,320505
1962-01-25,0.5945708751678467,0.6049472504565462,0.5904202299031832,0.6007966051918827,318502
1962-01-26,0.5924956202507019,0.5956086247943246,0.5904203763944605,0.5945710226889555,202319
1962-01-29,0.5935329794883728,0.595608381077393,0.5914577364812998,0.5924953778075798,204322
1962-01-30,0.6039100885391235,0.6101359820892278,0.6007970822957844,0.6007970822957844,356562
1962-01-31,0.6225869059562683,0.6225869059562683,0.6028716499697728,0.6039092512030166,376593
1962-02-01,0.6184367537498474,0.6257002456628935,0.6122108638931639,0.6225873998483047,514811
1962-02-02,0.6215497255325317,0.6215497255325317,0.6142860362364334,0.6184366818523497,296467
